Publisher,Journal name,ISSN
Wiley,Journal of Apples,5286-2075
Wiley,Journal of Pears,5501-5120
Wiley,Journal of Bananas,6735-1615
Wiley,Journal of Kiwis,8722-3238
IG Publishing,Journal of Grapes,6892-6939
IG Publishing,Journal of Dragonfruit,4596-5267
IG Publishing,Journal of Starfruit,9978-1435
IG Publishing,Journal of Oranges,3848-1906
Elsevier,Journal of Peaches,3786-1145
Elsevier,Journal of Strawberries,8206-1951
Elsevier,Journal of Rasberries,1414-5879
Elsevier,Journal of Blueberries,5030-7832
Elsevier,Journal of Dates,5906-6024
Elsevier,Journal of Apricots,7553-4444
Elsevier,Journal of Tomatoes,8971-6947
,Journal of Cucumbers,9369-2067
Elsevier,Journal of Lettuce,1262-5190
De Gruyter,Journal of Radishes,2370-6703
De Gruyter,Journal of Carrots,8716-6720
De Gruyter,Journal of Onions,6492-4179
